order_id;order_line_id;order_ts;customer_id;seller_id;product_id;quantity;unit_price;discount_amount;currency;shipping_country;payment_method;order_status;shipping_address
ORD-20260401-00000;ORD-20260401-00000-1;2026-04-01 18:52:13;C010301;S0164;P002049;1;68,68;10,30;EUR;IT;GIFTCARD;DELIVERED;162 rue Victor Hugo, 20121 Milan
ORD-20260401-00001;ORD-20260401-00001-1;2026-04-01 12:16:50;C022359;S0082;P007191;1;60,78;0,00;EUR;FR;CARD;DELIVERED;61 allée des Peupliers, 44000 Nantes
ORD-20260401-00001;ORD-20260401-00001-2;2026-04-01 12:16:50;C022359;S0072;P002315;1;76,79;0,00;EUR;FR;CARD;DELIVERED;61 allée des Peupliers, 44000 Nantes
ORD-20260401-00002;ORD-20260401-00002-1;2026-04-01 09:53:35;C023181;S0371;P007909;2;63,18;18,95;EUR;FR;CARD;shipped;173 rue du Général Leclerc, 33000 Bordeaux
ORD-20260401-00003;ORD-20260401-00003-1;2026-04-01 21:06:39;C019858;S0198;P007346;1;48,21;0,00;EUR;ES;TRANSFER;CANCELLED;56 quai des Chartrons, 28001 Madrid
ORD-20260401-00003;ORD-20260401-00003-2;2026-04-01 21:06:39;C019858;S0123;P004114;1;22,25;0,00;EUR;ES;TRANSFER;cancelled;56 quai des Chartrons, 28001 Madrid
ORD-20260401-00003;ORD-20260401-00003-3;2026-04-01 21:06:39;C019858;S0045;P002092;3;166,31;0,00;EUR;ES;TRANSFER;CANCELLED;56 quai des Chartrons, 28001 Madrid
ORD-20260401-00004;ORD-20260401-00004-1;2026-04-01 12:39:32;C008240;S0167;P000324;1;174,75;0,00;EUR;DE;CARD;delivered;118 cours Gambetta, 10115 Berlin
ORD-20260401-00005;ORD-20260401-00005-1;2026-04-01 17:24:11;C017448;S0222;P001043;1;174,23;8,71;EUR;FR;CARD;DELIVERED;41 route de Bordeaux, 75011 Paris
ORD-20260401-00006;ORD-20260401-00006-1;2026-04-01 15:42:16;C005002;S0469;P001318;2;18,89;1,89;EUR;FR;APPLEPAY;delivered;163 boulevard Saint-Michel, 59000 Lille
ORD-20260401-00006;ORD-20260401-00006-2;2026-04-01 15:42:16;C005002;S0340;P001407;1;93,33;9,33;EUR;FR;APPLEPAY;DELIVERED;163 boulevard Saint-Michel, 59000 Lille
ORD-20260401-00006;ORD-20260401-00006-3;2026-04-01 15:42:16;C005002;S0312;P002528;2;77,39;0,00;EUR;FR;APPLEPAY;DELIVERED;163 boulevard Saint-Michel, 59000 Lille
ORD-20260401-00006;ORD-20260401-00006-4;2026-04-01 15:42:16;C005002;S0572;P004019;1;196,32;29,45;EUR;FR;APPLEPAY;DELIVERED;163 boulevard Saint-Michel, 59000 Lille
ORD-20260401-00007;ORD-20260401-00007-1;2026-04-01 23:50:30;C016930;S0344;P004379;2;140,84;0,00;EUR;ES;GIFTCARD;DELIVERED;127 quai des Chartrons, 28001 Madrid
ORD-20260401-00008;ORD-20260401-00008-1;2026-04-01 20:29:32;C019596;S0299;P000492;1;66,61;6,66;EUR;FR;GIFTCARD;DELIVERED;169 cours Gambetta, 31000 Toulouse
ORD-20260401-00008;ORD-20260401-00008-2;2026-04-01 20:29:32;C019596;S0150;P005615;3;57,86;0,00;EUR;FR;GIFTCARD;DELIVERED;169 cours Gambetta, 31000 Toulouse
ORD-20260401-00009;ORD-20260401-00009-1;2026-04-01 16:08:14;C017710;S0029;P003745;2;37,94;11,38;EUR;FR;PAYPAL;DELIVERED;126 rue du Général Leclerc, 35000 Rennes
ORD-20260401-00010;ORD-20260401-00010-1;2026-04-01 20:03:43;C013253;S0038;P007148;1;22,51;3,38;EUR;BE;CARD;Delivered;4 cours Gambetta, 4000 Liège
ORD-20260401-00010;ORD-20260401-00010-2;2026-04-01 20:03:43;C013253;S0554;P004534;2;77,58;15,52;EUR;BE;CARD;DELIVERED;4 cours Gambetta, 4000 Liège
ORD-20260401-00011;ORD-20260401-00011-1;2026-04-01 19:31:18;C006142;S0171;P004469;1;91,81;0,00;EUR;FR;PAYPAL;SHIPPED;87 route de Bordeaux, 67000 Strasbourg
ORD-20260401-00011;ORD-20260401-00011-2;2026-04-01 19:31:18;C006142;S0490;P001121;1;89,97;13,50;EUR;FR;PAYPAL;SHIPPED;87 route de Bordeaux, 67000 Strasbourg
ORD-20260401-00012;ORD-20260401-00012-1;2026-04-01T17:18;C000260;S0573;P003943;1;57,10;0,00;EUR;IT;PAYPAL;DELIVERED;6 impasse du Moulin, 20121 Milan
ORD-20260401-00013;ORD-20260401-00013-1;2026-04-01 12:34:52;C010977;S0545;P001263;2;6,05;1,21;EUR;BE;CARD;CANCELLED;4 rue Victor Hugo, 1000 Bruxelles
ORD-20260401-00013;ORD-20260401-00013-2;2026-04-01 12:34:52;C010977;S0228;P004528;1;53,30;5,33;EUR;BE;CARD;CANCELLED;4 rue Victor Hugo, 1000 Bruxelles
ORD-20260401-00013;ORD-20260401-00013-3;2026-04-01 12:34:52;C010977;S0427;P004587;1;189,16;0,00;EUR;BE;CARD;CANCELLED;4 rue Victor Hugo, 1000 Bruxelles
ORD-20260401-00013;ORD-20260401-00013-4;2026-04-01 12:34:52;C010977;S0489;P001396;1;95,65;4,78;EUR;BE;CARD;cancelled;4 rue Victor Hugo, 1000 Bruxelles
ORD-20260401-00014;ORD-20260401-00014-1;2026-04-01 14:37:32;C022586;S0564;P003619;1;173,57;17,36;EUR;NL;GIFTCARD;DELIVERED;154 quai des Chartrons, 1011 Amsterdam
ORD-20260401-00014;ORD-20260401-00014-2;2026-04-01 14:37:32;C022586;S0272;P003161;2;28,61;5,72;EUR;NL;GIFTCARD;delivered;154 quai des Chartrons, 1011 Amsterdam
ORD-20260401-00014;ORD-20260401-00014-3;2026-04-01 14:37:32;C022586;S0279;P006499;1;50,27;0,00;EUR;NL;GIFTCARD;DELIVERED;154 quai des Chartrons, 1011 Amsterdam
ORD-20260401-00015;ORD-20260401-00015-1;2026-04-01 19:47:34;C017141;S0175;P004485;1;122,58;0,00;EUR;FR;TRANSFER;CANCELLED;152 cours Gambetta, 13008 Marseille
ORD-20260401-00015;ORD-20260401-00015-2;2026-04-01 19:47:34;C017141;S0051;P006962;2;13,28;1,33;EUR;FR;TRANSFER; CANCELLED ;152 cours Gambetta, 13008 Marseille
ORD-20260401-00015;ORD-20260401-00015-2;2026-04-01 19:47:34;C017141;S0051;P006962;2;13,28;1,33;EUR;FR;TRANSFER; CANCELLED ;152 cours Gambetta, 13008 Marseille
ORD-20260401-00016;ORD-20260401-00016-1;2026-04-01 19:17:45;C019955;S0432;P002076;3;172,67;0,00;EUR;BE;APPLEPAY; DELIVERED ;89 allée des Peupliers, 1000 Bruxelles
ORD-20260401-00016;ORD-20260401-00016-2;2026-04-01 19:17:45;C998644;S0466;P007752;3;129,62;19,44;EUR;BE;APPLEPAY;DELIVERED;89 allée des Peupliers, 1000 Bruxelles
ORD-20260401-00017;ORD-20260401-00017-1;2026-04-01 12:55:16;C022558;S0061;P000135;1;16,48;2,47;EUR;BE;GIFTCARD;DELIVERED;59 place de l'Église, 4000 Liège
ORD-20260401-00017;ORD-20260401-00017-2;2026-04-01 12:55:16;C022558;S0122;P007083;1;27,52;0,00;EUR;BE;GIFTCARD;DELIVERED;59 place de l'Église, 4000 Liège
ORD-20260401-00017;ORD-20260401-00017-3;2026-04-01 12:55:16;C022558;S0056;P006821;1;47,23;0,00;EUR;BE;GIFTCARD;Delivered;59 place de l'Église, 4000 Liège
ORD-20260401-00018;ORD-20260401-00018-1;2026-04-01 12:59:24;C012671;S0379;P000217;1;147,69;0,00;EUR;FR;PAYPAL; DELIVERED ;159 place de l'Église, 31000 Toulouse
ORD-20260401-00018;ORD-20260401-00018-2;2026-04-01 12:59:24;C012671;S0332;P004580;2;15,74;1,57;EUR;FR;PAYPAL;DELIVERED;159 place de l'Église, 31000 Toulouse
ORD-20260401-00018;ORD-20260401-00018-3;2026-04-01 12:59:24;C012671;S0013;P005362;2;27,09;0,00;EUR;FR;PAYPAL;DELIVERED;159 place de l'Église, 31000 Toulouse
ORD-20260401-00019;ORD-20260401-00019-1;2026-04-01 16:09:38;C024227;S0044;P007412;1;EUR 30,71;0,00;EUR;ES;CARD;DELIVERED;156 cours Gambetta, 46001 Valence
ORD-20260401-00019;ORD-20260401-00019-2;2026-04-01 16:09:38;C024227;S0114;P004694;4;38,79;0,00;EUR;ES;CARD;DELIVERED;156 cours Gambetta, 46001 Valence
ORD-20260401-00020;ORD-20260401-00020-1;2026-04-01 23:34:47;C022425;S0379;P003118;1;268,68;40,30;EUR;DE;CARD;RETURNED;14 quai des Chartrons, 20095 Hambourg
ORD-20260401-00020;ORD-20260401-00020-2;2026-04-01 23:34:47;C022425;S0197;P003901;1;49,56;0,00;EUR;DE;CARD;RETURNED;14 quai des Chartrons, 20095 Hambourg
ORD-20260401-00021;ORD-20260401-00021-1;2026-04-01 12:50:19;C011948;S0598;P006022;2;58,58;11,72;EUR;FR;PAYPAL;DELIVERED;163 impasse du Moulin, 35000 Rennes
ORD-20260401-00021;ORD-20260401-00021-2;2026-04-01 12:50:19;C011948;S0137;P006952;2;31,69;0,00;EUR;FR;PAYPAL;Delivered;163 impasse du Moulin, 35000 Rennes
ORD-20260401-00021;ORD-20260401-00021-3;2026-04-01 12:50:19;C011948;S0406;P004192;2;34,97;0,00;EUR;FR;PAYPAL;DELIVERED;163 impasse du Moulin, 35000 Rennes
ORD-20260401-00021;ORD-20260401-00021-4;2026-04-01 12:50:19;C011948;S0421;P003585;1;30,57;1,53;EUR;FR;PAYPAL;delivered;163 impasse du Moulin, 35000 Rennes
ORD-20260401-00022;ORD-20260401-00022-1;2026-04-01 16:07:14;C017934;S0247;P006120;2;60,34;0,00;EUR;DE;CARD;returned;66 route de Bordeaux, 20095 Hambourg
ORD-20260401-00022;ORD-20260401-00022-2;2026-04-01 16:07:14;C017934;S0180;P000332;1;73,51;0,00;EUR;DE;CARD;RETURNED;66 route de Bordeaux, 20095 Hambourg
ORD-20260401-00022;ORD-20260401-00022-3;2026-04-01 16:07:14;C017934;S0045;P000866;1;30,53;1,53;EUR;DE;CARD; RETURNED ;66 route de Bordeaux, 20095 Hambourg
ORD-20260401-00023;ORD-20260401-00023-1;2026-04-01 13:22:39;C015639;S0556;P005599;4;64,23;0,00;EUR;FR;CARD; CANCELLED ;43 boulevard Saint-Michel, 31000 Toulouse
ORD-20260401-00023;ORD-20260401-00023-2;2026-04-01 13:22:39;C015639;S0339;P006636;2;78,53;23,56;EUR;FR;CARD;CANCELLED;43 boulevard Saint-Michel, 31000 Toulouse
ORD-20260401-00023;ORD-20260401-00023-3;2026-04-01 13:22:39;C015639;S0395;P002247;1;107,32;0,00;EUR;FR;CARD;Cancelled;43 boulevard Saint-Michel, 31000 Toulouse
ORD-20260401-00024;ORD-20260401-00024-1;2026-04-01 11:52:43;C993865;S0060;P004836;2;75,56;0,00;EUR;FR;APPLEPAY;DELIVERED;108 route de Bordeaux, 59000 Lille
