order_id;order_line_id;order_ts;customer_id;seller_id;product_id;quantity;unit_price;discount_amount;currency;shipping_country;payment_method;order_status;shipping_address
ORD-20260602-00000;ORD-20260602-00000-1;2026-06-02 17:50:34;C020528;S0435;P007704;1;146,81;0,00;EUR;FR;CARD;Delivered;114 quai des Chartrons, 69003 Lyon
ORD-20260602-00000;ORD-20260602-00000-2;2026-06-02 17:50:34;C020528;S0483;P002789;2;113,10;33,93;EUR;FR;CARD;delivered;114 quai des Chartrons, 69003 Lyon
ORD-20260602-00001;ORD-20260602-00001-1;2026-06-02 21:47:37;C017932;S0015;P005595;2;87,28;17,46;EUR;BE;PAYPAL;DELIVERED;107 quai des Chartrons; Batiment A; 2000 Anvers
ORD-20260602-00002;ORD-20260602-00002-1;2026-06-02 13:35:55;C020202;S0196;P003049;1;88,73;0,00;EUR;BE;CARD;Returned;70 rue Victor Hugo, 4000 Liège
ORD-20260602-00002;ORD-20260602-00002-2;2026-06-02 13:35:55;C020202;S0089;P001208;1;186,08;27,91;EUR;BE;CARD;RETURNED;70 rue Victor Hugo, 4000 Liège
ORD-20260602-00002;ORD-20260602-00002-3;2026-06-02 13:35:55;C020202;S0136;P004535;1;60,67;9,10;EUR;BE;CARD;RETURNED;70 rue Victor Hugo, 4000 Liège
ORD-20260602-00003;ORD-20260602-00003-1;2026-06-02 13:33:29;C019527;S0578;P002010;1;59,55;5,96;EUR;FR;CARD;DELIVERED;123 boulevard Saint-Michel; Batiment D; 35000 Rennes
ORD-20260602-00004;ORD-20260602-00004-1;2026-06-02 15:00:27;C009190;S0066;P006295;1;10,60;1,59;EUR;FR;CARD;returned;137 place de l'Église, 44000 Nantes
ORD-20260602-00004;ORD-20260602-00004-2;2026-06-02 15:00:27;C009190;S0179;P005077;1;40,32;0,00;EUR;FR;CARD;RETURNED;137 place de l'Église, 44000 Nantes
ORD-20260602-00004;ORD-20260602-00004-3;2026-06-02 15:00:27;C009190;S0577;P005091;2;144,19;14,42;EUR;FR;CARD;Returned;137 place de l'Église, 44000 Nantes
ORD-20260602-00005;ORD-20260602-00005-1;2026-06-02 16:36:51;C007491;S0025;P004673;1;77,07;7,71;EUR;FR;CARD;Delivered;175 rue Victor Hugo, 35000 Rennes
ORD-20260602-00005;ORD-20260602-00005-2;2026-06-02 16:36:51;C007491;S0092;P003256;1;36,39;1,82;EUR;FR;CARD;DELIVERED;175 rue Victor Hugo, 35000 Rennes
ORD-20260602-00006;ORD-20260602-00006-1;2026-06-02 12:33:03;C005644;S0560;P005259;3;21,10;6,33;EUR;FR;CARD;Delivered;49 route de Bordeaux, 44000 Nantes
ORD-20260602-00007;ORD-20260602-00007-1;2026-06-02 11:25:53;C002791;S0157;P004978;2;50,22;10,04;EUR;FR;CARD;DELIVERED;126 route de Bordeaux, 31000 Toulouse
ORD-20260602-00008;ORD-20260602-00008-1;2026-06-02 15:28:07;C007324;S0107;P002708;1;205,83;10,29;EUR;FR;CARD;Delivered;10 boulevard Saint-Michel, 69003 Lyon
ORD-20260602-00008;ORD-20260602-00008-2;2026-06-02 15:28:07;C007324;S0172;P000784;2;27,65;0,00;EUR;FR;CARD; DELIVERED ;10 boulevard Saint-Michel, 69003 Lyon
ORD-20260602-00009;ORD-20260602-00009-1;2026-06-02 22:15:22;C007869;S0124;P002165;1;29,43;4,41;EUR;IT;PAYPAL;DELIVERED;15 rue du Général Leclerc, 20121 Milan
ORD-20260602-00010;ORD-20260602-00010-1;2026-06-02 08:28:05;C020752;S0575;P006467;1;234,86;0,00;EUR;BE;CARD;DELIVERED;157 cours Gambetta, 4000 Liège
ORD-20260602-00011;ORD-20260602-00011-1;2026-06-02 04:07:27;C014315;S0220;P000448;1;40,62;4,06;EUR;BE;PAYPAL;shipped;157 cours Gambetta, 1000 Bruxelles
