order_id;order_line_id;order_ts;customer_id;seller_id;product_id;quantity;unit_price;discount_amount;currency;shipping_country;payment_method;order_status;shipping_address;promo_code;channel
ORD-20260604-00000;ORD-20260604-00000-1;2026-06-04 09:14:45;C022095;S0525;P002202;1;38,48;0,00;EUR;FR;CARD;DELIVERED;50 allée des Peupliers, 35000 Rennes;;MOBILE_APP
ORD-20260604-00000;ORD-20260604-00000-2;2026-06-04 09:14:45;C022095;S0332;P003846;3;48,62;0,00;EUR;FR;CARD;DELIVERED;50 allée des Peupliers, 35000 Rennes;;MOBILE_APP
ORD-20260604-00001;ORD-20260604-00001-1;2026-06-04 10:16:40;C001716;S0493;P001021;2;31,03;0,00;EUR;DE;APPLEPAY; DELIVERED ;179 chemin des Vignes, 20095 Hambourg;FREESHIP;MARKETPLACE_API
ORD-20260604-00001;ORD-20260604-00001-2;2026-06-04 10:16:40;C001716;S0186;P004902;1;71,16;10,67;EUR;DE;APPLEPAY;DELIVERED;179 chemin des Vignes, 20095 Hambourg;FREESHIP;MARKETPLACE_API
ORD-20260604-00002;ORD-20260604-00002-1;2026-06-04 15:03:04;C008292;S0232;P004179;1;179,42;26,91;EUR;NL;CARD; DELIVERED ;18 rue de la République, 1011 Amsterdam;VIP20;MOBILE_APP
ORD-20260604-00002;ORD-20260604-00002-2;2026-06-04 15:03:04;C008292;S0265;P001626;1;69,53;0,00;EUR;NL;CARD;Delivered;18 rue de la République, 1011 Amsterdam;VIP20;MOBILE_APP
ORD-20260604-00002;ORD-20260604-00002-3;2026-06-04 15:03:04;C008292;S0293;P005328;1;67,56;3,38;EUR;NL;CARD;DELIVERED;18 rue de la République, 1011 Amsterdam;VIP20;MOBILE_APP
ORD-20260604-00002;ORD-20260604-00002-4;2026-06-04 15:03:04;C008292;S0107;P001155;1;128,63;0,00;EUR;NL;CARD;DELIVERED;18 rue de la République, 1011 Amsterdam;VIP20;MOBILE_APP
ORD-20260604-00002;ORD-20260604-00002-5;2026-06-04 15:03:04;C008292;S0188;P002931;1;12,75;1,91;EUR;NL;CARD;delivered;18 rue de la République, 1011 Amsterdam;VIP20;MOBILE_APP
ORD-20260604-00003;ORD-20260604-00003-1;2026-06-04 11:30:21;C020662;S0484;P001857;2;27,09;0,00;EUR;FR;CARD;SHIPPED;146 rue du Général Leclerc, 67000 Strasbourg;WELCOME15;MOBILE_APP
ORD-20260604-00003;ORD-20260604-00003-2;2026-06-04 11:30:21;C020662;S0315;P003690;4;33,60;0,00;EUR;FR;CARD;SHIPPED;146 rue du Général Leclerc, 67000 Strasbourg;WELCOME15;MOBILE_APP
ORD-20260604-00004;ORD-20260604-00004-1;2026-06-04 17:24:12;C006911;S0550;P003288;1;51,78;2,59;EUR;DE;TRANSFER;SHIPPED;16 boulevard Saint-Michel, 20095 Hambourg;WELCOME15;MOBILE_APP
ORD-20260604-00005;ORD-20260604-00005-1;0000-00-00 00:00:00;C003551;S0359;P006472;1;242,48;24,25;EUR;FR;CARD;DELIVERED;180 quai des Chartrons, 35000 Rennes;;MOBILE_APP
ORD-20260604-00006;ORD-20260604-00006-1;2026-06-04 16:27:43;C018175;S0059;P001611;1;64,56;3,23;EUR;FR;PAYPAL;DELIVERED;86 cours Gambetta, 67000 Strasbourg;FREESHIP;MOBILE_APP
ORD-20260604-00006;ORD-20260604-00006-2;2026-06-04 16:27:43;C018175;S0383;P005766;1;50,08;0,00;EUR;FR;PAYPAL;Delivered;86 cours Gambetta, 67000 Strasbourg;FREESHIP;MOBILE_APP
ORD-20260604-00006;ORD-20260604-00006-3;2026-06-04 16:27:43;C018175;S0588;P003426;3;9,82;0,00;EUR;FR;PAYPAL;DELIVERED;86 cours Gambetta, 67000 Strasbourg;FREESHIP;MOBILE_APP
ORD-20260604-00006;ORD-20260604-00006-4;2026-06-04 16:27:43;C018175;S0106;P004695;1;26,21;3,93;EUR;FR;PAYPAL;DELIVERED;86 cours Gambetta, 67000 Strasbourg;FREESHIP;MOBILE_APP
ORD-20260604-00007;ORD-20260604-00007-1;2026-06-04 19:41:58;C019778;S0177;P004738;1;59,86;5,99;EUR;FR;CARD; DELIVERED ;73 cours Gambetta, 59000 Lille;;MARKETPLACE_API
ORD-20260604-00008;ORD-20260604-00008-1;2026-06-04 17:38:16;C020889;S0072;P004632;1;65,16;6,52;EUR;BE;PAYPAL;DELIVERED;79 place de l'Église, 1000 Bruxelles;SUMMER10;MOBILE_APP
ORD-20260604-00009;ORD-20260604-00009-1;2026-06-04 15:43:24;C010039;S0273;P001666;1;26,84;1,34;EUR;IT;CARD;DELIVERED;154 rue du Général Leclerc, 20121 Milan;VIP20;WEB
ORD-20260604-00010;ORD-20260604-00010-1;2026-06-04 16:26:03;C011008;S0394;P005171;2;233,67;0,00;EUR;DE;CARD; DELIVERED ;82 place de l'Église, 20095 Hambourg;SUMMER10;MOBILE_APP
ORD-20260604-00010;ORD-20260604-00010-2;2026-06-04 16:26:03;C011008;S0209;P005790;1;4,36;0,65;EUR;DE;CARD;Delivered;82 place de l'Église, 20095 Hambourg;SUMMER10;MOBILE_APP
ORD-20260604-00011;ORD-20260604-00011-1;2026-06-04 21:45:45;C013092;S0234;P001843;3;145,99;21,90;EUR;FR;CARD;DELIVERED;65 allée des Peupliers, 35000 Rennes;SUMMER10;WEB
ORD-20260604-00011;ORD-20260604-00011-2;2026-06-04 21:45:45;C013092;S0055;P005487;1;3857;0,00;EUR;FR;CARD;DELIVERED;65 allée des Peupliers, 35000 Rennes;SUMMER10;WEB
ORD-20260604-00012;ORD-20260604-00012-1;2026-06-04 17:32:21;C024937;S0015;P001634;1;9,23;0,00;EUR;BE;CARD;Delivered;27 allée des Peupliers, 2000 Anvers;SUMMER10;WEB
ORD-20260604-00012;ORD-20260604-00012-2;2026-06-04 17:32:21;C024937;S0436;P006096;1;22,90;0,00;EUR;BE;CARD;DELIVERED;27 allée des Peupliers, 2000 Anvers;SUMMER10;WEB
ORD-20260604-00013;ORD-20260604-00013-1;2026-06-04 16:25:43;C014205;S0512;P002703;1;77,13;11,57;EUR;FR;CARD;DELIVERED;11 avenue des Tilleuls, 33000 Bordeaux;FREESHIP;WEB
ORD-20260604-00014;ORD-20260604-00014-1;2026-06-04 19:28:07;C010164;S0239;P002732;1;57,64;0,00;EUR;FR;TRANSFER;DELIVERED;55 place de l'Église, 69003 Lyon;;WEB
ORD-20260604-00014;ORD-20260604-00014-2;2026-06-04 19:28:07;C010164;S0573;P003160;4;11,94;0,00;EUR;FR;TRANSFER;DELIVERED;55 place de l'Église, 69003 Lyon;;WEB
ORD-20260604-00015;ORD-20260604-00015-1;2026-06-04 15:51:10;C017099;S0584;P000631;1;67,88;0,00;EUR;FR;PAYPAL;DELIVERED;141 rue Victor Hugo, 69003 Lyon;;MOBILE_APP
ORD-20260604-00015;ORD-20260604-00015-2;2026-06-04 15:51:10;C017099;S0536;P003748;1;158,21;7,91;EUR;FR;PAYPAL;Delivered;141 rue Victor Hugo, 69003 Lyon;;MOBILE_APP
ORD-20260604-00016;ORD-20260604-00016-1;2026-06-04 10:02:55;C016684;S0574;P006104;1;46,54;6,98;EUR;DE;CARD;DELIVERED;4 avenue des Tilleuls, 10115 Berlin;FREESHIP;MOBILE_APP
ORD-20260604-00016;ORD-20260604-00016-2;2026-06-04 10:02:55;C016684;S0550;P001454;2;193,56;38,71;EUR;DE;CARD;DELIVERED;4 avenue des Tilleuls, 10115 Berlin;FREESHIP;MOBILE_APP
ORD-20260604-00017;ORD-20260604-00017-1;2026-06-04 17:12:37;C024709;S0349;P004858;2;41,88;12,56;EUR;FR;PAYPAL;DELIVERED;171 cours Gambetta, 35000 Rennes;;MOBILE_APP
ORD-20260604-00017;ORD-20260604-00017-2;2026-06-04 17:12:37;C024709;S0223;P000313;1;15290;22,93;EUR;FR;PAYPAL;Delivered;171 cours Gambetta, 35000 Rennes;;MOBILE_APP
ORD-20260604-00017;ORD-20260604-00017-3;2026-06-04 17:12:37;C024709;S0270;P002216;4;143,70;28,74;EUR;FR;PAYPAL;DELIVERED;171 cours Gambetta, 35000 Rennes;;MOBILE_APP
ORD-20260604-00018;ORD-20260604-00018-1;2026-06-04 20:40:19;C003157;S0372;P007259;2;55,96;5,60;EUR;BE;CARD;DELIVERED;88 route de Bordeaux, 1000 Bruxelles;FREESHIP;MOBILE_APP
ORD-20260604-00018;ORD-20260604-00018-2;2026-06-04 20:40:19;C999318;S0511;P004997;4;14699;88,19;EUR;BE;CARD;Delivered;88 route de Bordeaux, 1000 Bruxelles;FREESHIP;MOBILE_APP
ORD-20260604-00018;ORD-20260604-00018-3;2026-06-04 20:40:19;C003157;S0416;P007425;4;63,86;0,00;EUR;BE;CARD;Delivered;88 route de Bordeaux, 1000 Bruxelles;FREESHIP;MOBILE_APP
ORD-20260604-00019;ORD-20260604-00019-1;2026-06-04 18:04:35;C009189;S0438;P002144;2;168,67;0,00;EUR;DE;APPLEPAY;CANCELLED;20 rue Victor Hugo, 80331 Munich;VIP20;WEB
ORD-20260604-00020;ORD-20260604-00020-1;2026-06-04 18:13:45;C001631;S0172;P004847;2;21,13;0,00;EUR;DE;CARD;DELIVERED;6 chemin des Vignes, 20095 Hambourg;VIP20;MARKETPLACE_API
ORD-20260604-00021;ORD-20260604-00021-1;2026-06-04 16:32:30;C014031;S0537;P005258;1;80,89;12,13;EUR;BE;CARD;Delivered;105 place de l'Église, 1000 Bruxelles;;MOBILE_APP
ORD-20260604-00022;ORD-20260604-00022-1;2026-06-04 17:37:16;C003936;S0235;P004532;2;104,67;0,00;EUR;ES;CARD;SHIPPED;30 allée des Peupliers, 28001 Madrid;;WEB
ORD-20260604-00022;ORD-20260604-00022-2;2026-06-04 17:37:16;C003936;S0397;P001162;1;50,55;0,00;EUR;ES;CARD;Shipped;30 allée des Peupliers, 28001 Madrid;;WEB
ORD-20260604-00023;ORD-20260604-00023-1;2026-06-04 08:57:24;C023489;S0062;P005117;1;53,44;0,00;EUR;FR;APPLEPAY;DELIVERED;150 route de Bordeaux, 59000 Lille;;MOBILE_APP
