order_id;order_line_id;order_ts;customer_id;seller_id;product_id;quantity;unit_price;discount_amount;currency;shipping_country;payment_method;order_status;shipping_address
ORD-20260101-00000;ORD-20260101-00000-1;2026-01-01 11:27:55;C021144;S0568;P000310;1;175,09;8,75;EUR;BE;CARD;CANCELLED;135 place de l'Église, 2000 Anvers
ORD-20260101-00000;ORD-20260101-00000-2;2026-01-01 11:27:55;C021144;S0147;P004061;1;36,75;1,84;EUR;BE;CARD;CANCELLED;135 place de l'Église, 2000 Anvers
ORD-20260101-00001;ORD-20260101-00001-1;2026-01-01 12:35:23;C000608;S0025;P001207;1;12,87;0,00;EUR;FR;CARD;Delivered;113 allée des Peupliers, 35000 Rennes
ORD-20260101-00001;ORD-20260101-00001-2;2026-01-01 12:35:23;C000608;S0113;P000112;2;53,01;5,30;EUR;FR;CARD;delivered;113 allée des Peupliers, 35000 Rennes
ORD-20260101-00002;ORD-20260101-00002-1;2026-01-01 21:06:58;C007995;S0140;P006906;3;10,01;1,50;EUR;FR;GIFTCARD;RETURNED;66 place de l'Église, 13008 Marseille
ORD-20260101-00002;ORD-20260101-00002-2;2026-01-01 21:06:58;C007995;S0576;P005189;1;4,42;0,00;EUR;FR;GIFTCARD;RETURNED;66 place de l'Église, 13008 Marseille
ORD-20260101-00002;ORD-20260101-00002-3;2026-01-01 21:06:58;C007995;S0292;P007413;2;46,60;13,98;EUR;FR;GIFTCARD;RETURNED;66 place de l'Église, 13008 Marseille
ORD-20260101-00003;ORD-20260101-00003-1;2026-01-01 12:52:43;C000641;S0469;P002770;1;68,62;0,00;EUR;FR;APPLEPAY;DELIVERED;145 allée des Peupliers, 13008 Marseille
ORD-20260101-00003;ORD-20260101-00003-2;2026-01-01 12:52:43;C000641;S0355;P002292;1;126,16;0,00;EUR;FR;APPLEPAY;DELIVERED;145 allée des Peupliers, 13008 Marseille
ORD-20260101-00004;ORD-20260101-00004-1;2026-01-01 18:26:58;C016822;S0365;P007298;1;182,60;0,00;EUR;FR;CARD;DELIVERED;95 rue de la République, 59000 Lille
ORD-20260101-00005;ORD-20260101-00005-1;2026-01-01 17:17:07;C002762;S0042;P000766;3;50,25;0,00;EUR;FR;PAYPAL;DELIVERED;37 rue de la République, 13008 Marseille
ORD-20260101-00006;ORD-20260101-00006-1;2026-01-01 10:07:00;C008311;S0068;P006809;3;75,43;0,00;EUR;ES;APPLEPAY;DELIVERED;128 avenue des Tilleuls, 46001 Valence
ORD-20260101-00006;ORD-20260101-00006-2;2026-01-01 10:07:00;C008311;S0477;P000131;2;21,22;0,00;EUR;ES;APPLEPAY;DELIVERED;128 avenue des Tilleuls, 46001 Valence
ORD-20260101-00006;ORD-20260101-00006-3;2026-01-01 10:07:00;C008311;S0048;P001223;2;23,31;6,99;EUR;ES;APPLEPAY;DELIVERED;128 avenue des Tilleuls, 46001 Valence
ORD-20260101-00006;ORD-20260101-00006-4;2026-01-01 10:07:00;C008311;S0287;P005235;1;149,94;0,00;EUR;ES;APPLEPAY;DELIVERED;128 avenue des Tilleuls, 46001 Valence
ORD-20260101-00007;ORD-20260101-00007-1;2026-01-01 12:49:17;C010309;S0490;P002395;1;211,44;31,72;EUR;ES;APPLEPAY;Delivered;114 place de l'Église, 28001 Madrid
ORD-20260101-00008;ORD-20260101-00008-1;2026-01-01 15:27:47;C006222;S0436;P005844;3;170,37;76,67;EUR;DE;CARD;DELIVERED;18 avenue des Tilleuls, 10115 Berlin
ORD-20260101-00009;ORD-20260101-00009-1;2026-01-01 16:56:44;C000729;S0391;P000547;1;56,20;0,00;EUR;FR;CARD;DELIVERED;95 quai des Chartrons, 31000 Toulouse
ORD-20260101-00009;ORD-20260101-00009-2;2026-01-01 16:56:44;C000729;S0167;P007429;3;23,82;0,00;EUR;FR;CARD;DELIVERED;95 quai des Chartrons, 31000 Toulouse
ORD-20260101-00010;ORD-20260101-00010-1;2026-01-01 12:03:35;C004936;S0136;P004208;2;85,18;0,00;EUR;BE;CARD;DELIVERED;108 allée des Peupliers, 1000 Bruxelles
ORD-20260101-00010;ORD-20260101-00010-2;2026-01-01 12:03:35;C004936;S0338;P002214;2;82,08;0,00;EUR;BE;CARD;DELIVERED;108 allée des Peupliers, 1000 Bruxelles
ORD-20260101-00011;ORD-20260101-00011-1;2026-01-01 11:09:38;C015848;S0095;P005409;1;67,49;0,00;EUR;BE;CARD;DELIVERED;33 place de l'Église, 4000 Liège
ORD-20260101-00011;ORD-20260101-00011-2;2026-01-01 11:09:38;C015848;S0575;P006439;1;60,76;0,00;EUR;BE;CARD;DELIVERED;33 place de l'Église, 4000 Liège
ORD-20260101-00011;ORD-20260101-00011-3;2026-01-01 11:09:38;C015848;S0477;P006489;1;78,29;11,74;EUR;BE;CARD;DELIVERED;33 place de l'Église, 4000 Liège
ORD-20260101-00011;ORD-20260101-00011-4;2026-01-01 11:09:38;C015848;S0164;P006431;2;196,97;59,09;EUR;BE;CARD;DELIVERED;33 place de l'Église, 4000 Liège
ORD-20260101-00012;ORD-20260101-00012-1;2026-01-01 23:54:50;C003568;S0536;P007175;3;80,47;12,07;EUR;NL;PAYPAL;RETURNED;81 rue de la République, 1011 Amsterdam
ORD-20260101-00013;ORD-20260101-00013-1;2026-01-01 10:23:41;C002979;S0216;P000843;2;82,32;16,46;EUR;ES;TRANSFER;DELIVERED;170 rue de la République, 46001 Valence
ORD-20260101-00013;ORD-20260101-00013-2;2026-01-01 10:23:41;C002979;S0428;P007005;1;37,73;0,00;EUR;ES;TRANSFER;DELIVERED;170 rue de la République, 46001 Valence
ORD-20260101-00014;ORD-20260101-00014-1;2026-01-01 12:26:03;C015390;S0173;P005389;1;22,79;3,42;EUR;ES;CARD;DELIVERED;90 route de Bordeaux, 08001 Barcelone
ORD-20260101-00014;ORD-20260101-00014-2;2026-01-01 12:26:03;C015390;S0050;P003023;2;29,13;8,74;EUR;ES;CARD;DELIVERED;90 route de Bordeaux, 08001 Barcelone
ORD-20260101-00014;ORD-20260101-00014-3;2026-01-01 12:26:03;C015390;S0473;P007998;1;69,14;10,37;EUR;ES;CARD;DELIVERED;90 route de Bordeaux, 08001 Barcelone
ORD-20260101-00014;ORD-20260101-00014-4;2026-01-01 12:26:03;C015390;S0102;P003865;1;46,42;0,00;EUR;ES;CARD;Delivered;90 route de Bordeaux, 08001 Barcelone
ORD-20260101-00015;ORD-20260101-00015-1;2026-01-01 14:09:48;C010318;S0530;P006807;1;14,43;0,72;EUR;ES;CARD;DELIVERED;63 chemin des Vignes, 08001 Barcelone
ORD-20260101-00015;ORD-20260101-00015-2;2026-01-01 14:09:48;C010318;S0012;P006448;1;23,81;3,57;EUR;ES;CARD;DELIVERED;63 chemin des Vignes, 08001 Barcelone
ORD-20260101-00016;ORD-20260101-00016-1;2026-01-01 20:33:26;C000986;S0438;P006581;1;184,79;0,00;EUR;FR;CARD;Pending;6 cours Gambetta, 13008 Marseille
ORD-20260101-00017;ORD-20260101-00017-1;2026-01-01 18:46:43;C002503;S0237;P005017;1;42,72;0,00;EUR;BE;CARD;DELIVERED;163 rue du Général Leclerc, 4000 Liège
ORD-20260101-00017;ORD-20260101-00017-2;2026-01-01 18:46:43;C002503;S0161;P007355;2;EUR 18,03;3,61;EUR;BE;CARD;DELIVERED;163 rue du Général Leclerc, 4000 Liège
ORD-20260101-00017;ORD-20260101-00017-3;2026-01-01 18:46:43;C002503;S0181;P006719;1;196,83;19,68;EUR;BE;CARD;DELIVERED;163 rue du Général Leclerc, 4000 Liège
ORD-20260101-00017;ORD-20260101-00017-4;2026-01-01 18:46:43;C002503;S0136;P006124;1;178,40;17,84;EUR;BE;CARD;DELIVERED;163 rue du Général Leclerc, 4000 Liège
