order_id;order_line_id;order_ts;customer_id;seller_id;product_id;quantity;unit_price;discount_amount;currency;shipping_country;payment_method;order_status;shipping_address
ORD-20260601-00000;ORD-20260601-00000-1;2026-06-01 13:05:44;C019659;S0534;P005556;1;56,08;2,80;EUR;BE;CARD;SHIPPED;13 allée des Peupliers, 1000 Bruxelles
ORD-20260601-00000;ORD-20260601-00000-1;2026-06-01 13:05:44;C019659;S0534;P005556;1;56,08;2,80;EUR;BE;CARD;SHIPPED;13 allée des Peupliers, 1000 Bruxelles
ORD-20260601-00000;ORD-20260601-00000-2;2026-06-01 13:05:44;C019659;S0048;P005230;1;23,48;0,00;EUR;BE;CARD;SHIPPED;13 allée des Peupliers, 1000 Bruxelles
ORD-20260601-00001;ORD-20260601-00001-1;2026-06-01 15:04:01;C016645;S0434;P005021;4;35,77;0,00;EUR;ES;PAYPAL;Delivered;37 allée des Peupliers, 46001 Valence
ORD-20260601-00001;ORD-20260601-00001-2;2026-06-01 15:04:01;C016645;S0425;P005786;1;87,20;4,36;EUR;ES;PAYPAL;Delivered;37 allée des Peupliers, 46001 Valence
ORD-20260601-00001;ORD-20260601-00001-3;2026-06-01 15:04:01;C016645;S0557;P002441;2;60,73;12,15;EUR;ES;PAYPAL;DELIVERED;37 allée des Peupliers, 46001 Valence
ORD-20260601-00001;ORD-20260601-00001-4;2026-06-01 15:04:01;C016645;S0193;P003859;1;23,35;0,00;EUR;ES;PAYPAL;DELIVERED;37 allée des Peupliers, 46001 Valence
ORD-20260601-00002;ORD-20260601-00002-1;2026-06-01 06:28:21;C021890;S0299;P000825;1;106,26;0,00;EUR;FR;PAYPAL;DELIVERED;84 chemin des Vignes, 35000 Rennes
ORD-20260601-00002;ORD-20260601-00002-2;2026-06-01 06:28:21;C021890;S0325;P001787;1;67,54;6,75;EUR;FR;PAYPAL;DELIVERED;84 chemin des Vignes, 35000 Rennes
ORD-20260601-00003;ORD-20260601-00003-1;2026-06-01 14:31:15;C001566;S0355;P007187;1;8,47;0,85;EUR;FR;CARD;DELIVERED;153 rue du Général Leclerc, 13008 Marseille
ORD-20260601-00003;ORD-20260601-00003-2;2026-06-01 14:31:15;C001566;S0071;P001073;1;177,92;0,00;EUR;FR;CARD;DELIVERED;153 rue du Général Leclerc, 13008 Marseille
ORD-20260601-00004;ORD-20260601-00004-1;2026-06-01 15:08:15;C003131;S0243;P003091;1;31,47;3,15;EUR;BE;PAYPAL;DELIVERED;25 route de Bordeaux, 4000 Liège
ORD-20260601-00005;ORD-20260601-00005-1;2026-06-01 19:28:45;C009692;S0051;P000916;2;223,22;0,00;EUR;ES;CARD;CANCELLED;28 avenue des Tilleuls, 28001 Madrid
ORD-20260601-00005;ORD-20260601-00005-2;2026-06-01 19:28:45;C009692;S0354;P007780;1;173,63;26,04;EUR;ES;CARD;CANCELLED;28 avenue des Tilleuls, 28001 Madrid
ORD-20260601-00005;ORD-20260601-00005-3;2026-06-01 19:28:45;C009692;S0376;P006729;1;56,91;0,00;EUR;ES;CARD;CANCELLED;28 avenue des Tilleuls, 28001 Madrid
ORD-20260601-00005;ORD-20260601-00005-4;2026-06-01 19:28:45;C009692;S0294;P005823;1;92,34;0,00;EUR;ES;CARD; CANCELLED ;28 avenue des Tilleuls, 28001 Madrid
ORD-20260601-00005;ORD-20260601-00005-5;2026-06-01 19:28:45;C009692;S0347;P001716;1;45,17;2,26;EUR;ES;CARD;CANCELLED;28 avenue des Tilleuls, 28001 Madrid
ORD-20260601-00005;ORD-20260601-00005-5;2026-06-01 19:28:45;C009692;S0347;P001716;1;45,17;2,26;EUR;ES;CARD;CANCELLED;28 avenue des Tilleuls, 28001 Madrid
ORD-20260601-00006;ORD-20260601-00006-1;2026-06-01 20:21:22;C018505;S0522;P004481;2;45,70;13,71;EUR;BE;APPLEPAY;delivered;41 place de l'Église, 2000 Anvers
ORD-20260601-00006;ORD-20260601-00006-2;2026-06-01 20:21:22;C018505;S0507;P005783;1;47,24;4,72;EUR;BE;APPLEPAY;DELIVERED;41 place de l'Église, 2000 Anvers
ORD-20260601-00007;ORD-20260601-00007-1;2026-06-01 14:12:28;C021850;S0238;P005133;1;20,71;0,00;EUR;BE;CARD;delivered;68 place de l'Église, 4000 Liège
ORD-20260601-00007;ORD-20260601-00007-2;2026-06-01 14:12:28;C021850;S0573;P005064;1;56,31;0,00;EUR;BE;CARD; DELIVERED ;68 place de l'Église, 4000 Liège
ORD-20260601-00008;ORD-20260601-00008-1;2026-06-01 12:33:21;C023009;S0141;P006281;3;85,73;0,00;EUR;FR;CARD;DELIVERED;69 cours Gambetta, 75011 Paris
ORD-20260601-00009;ORD-20260601-00009-1;2026-06-01 17:36:20;C003915;S0590;P000218;4;74,34;0,00;EUR;FR;CARD;DELIVERED;151 avenue des Tilleuls, 59000 Lille
ORD-20260601-00010;ORD-20260601-00010-1;2026-06-01 15:29:20;C012115;S0372;P004348;1;47,65;4,76;EUR;ES;CARD;SHIPPED;27 rue du Général Leclerc, 28001 Madrid
ORD-20260601-00011;ORD-20260601-00011-1;2026-06-01 14:27:15;C003497;S0348;P000658;1;21,05;0,00;EUR;ES;PAYPAL;DELIVERED;71 avenue des Tilleuls, 08001 Barcelone
ORD-20260601-00011;ORD-20260601-00011-2;2026-06-01 14:27:15;C003497;S0459;P001191;1;162,93;8,15;EUR;ES;PAYPAL;Delivered;71 avenue des Tilleuls, 08001 Barcelone
ORD-20260601-00012;ORD-20260601-00012-1;2026-06-01 03:13:16;C014783;S0114;P005584;1;138,49;0,00;EUR;FR;CARD;SHIPPED;136 avenue des Tilleuls, 67000 Strasbourg
ORD-20260601-00012;ORD-20260601-00012-2;2026-06-01 03:13:16;C014783;S0098;P002407;1;59,46;8,92;EUR;FR;CARD;SHIPPED;136 avenue des Tilleuls, 67000 Strasbourg
ORD-20260601-00012;ORD-20260601-00012-3;2026-06-01 03:13:16;C014783;S0191;P003486;1;35,16;0,00;EUR;FR;CARD;SHIPPED;136 avenue des Tilleuls, 67000 Strasbourg
ORD-20260601-00013;ORD-20260601-00013-1;2026-06-01 16:28:53;C017615;S0227;P000855;3;15,19;0,00;EUR;FR;CARD;DELIVERED;99 avenue des Tilleuls, 13008 Marseille
ORD-20260601-00013;ORD-20260601-00013-2;2026-06-01 16:28:53;C017615;S0153;P003786;2;44,85;4,49;EUR;FR;CARD;DELIVERED;99 avenue des Tilleuls, 13008 Marseille
ORD-20260601-00014;ORD-20260601-00014-1;2026-06-01 16:03:29;C016395;S0282;P000741;2;67,13;0,00;EUR;BE;CARD;PENDING;107 quai des Chartrons, 2000 Anvers
ORD-20260601-00015;ORD-20260601-00015-1;2026-06-01 23:36:57;C001045;S0484;P001857;1;33,34;0,00;EUR;ES;CARD; DELIVERED ;3 allée des Peupliers, 08001 Barcelone
ORD-20260601-00016;ORD-20260601-00016-1;2026-06-01 07:33:12;C020573;S0072;P007928;1;179,09;0,00;EUR;IT;PAYPAL;DELIVERED;144 rue de la République, 00184 Rome
ORD-20260601-00016;ORD-20260601-00016-2;2026-06-01 07:33:12;C020573;S0506;P006259;1;46,85;7,03;EUR;IT;PAYPAL;DELIVERED;144 rue de la République, 00184 Rome
ORD-20260601-00017;ORD-20260601-00017-1;2026-06-01 19:33:53;C002940;S0023;P006204;1;15,24;0,00;EUR;NL;CARD;Delivered;137 avenue des Tilleuls, 1011 Amsterdam
ORD-20260601-00017;ORD-20260601-00017-2;2026-06-01 19:33:53;C002940;S0247;P007638;2;40,56;0,00;EUR;NL;CARD;delivered;137 avenue des Tilleuls, 1011 Amsterdam
ORD-20260601-00017;ORD-20260601-00017-2;2026-06-01 19:33:53;C002940;S0247;P007638;2;40,56;0,00;EUR;NL;CARD;delivered;137 avenue des Tilleuls, 1011 Amsterdam
ORD-20260601-00017;ORD-20260601-00017-3;2026-06-01 19:33:53;C002940;S0523;P004901;3;105,43;0,00;EUR;NL;CARD;delivered;137 avenue des Tilleuls, 1011 Amsterdam
ORD-20260601-00018;ORD-20260601-00018-1;2026-06-01 23:02:22;C013317;S0454;P006713;3;57,46;17,24;EUR;FR;APPLEPAY;DELIVERED;99 place de l'Église, 69003 Lyon
ORD-20260601-00019;ORD-20260601-00019-1;2026-06-01 04:34:48;C007405;S0396;P002476;3;14,76;0,00;EUR;IT;CARD; SHIPPED ;89 chemin des Vignes, 00184 Rome
ORD-20260601-00019;ORD-20260601-00019-2;2026-06-01 04:34:48;C007405;S0162;P001956;1;43,43;6,51;EUR;IT;CARD;SHIPPED;89 chemin des Vignes, 00184 Rome
ORD-20260601-00019;ORD-20260601-00019-3;2026-06-01 04:34:48;C007405;S0464;P007930;1;172,17;0,00;EUR;IT;CARD;SHIPPED;89 chemin des Vignes, 00184 Rome
ORD-20260601-00019;ORD-20260601-00019-4;2026-06-01 04:34:48;C007405;S0586;P002954;1;73,43;0,00;EUR;IT;CARD;SHIPPED;89 chemin des Vignes, 00184 Rome
ORD-20260601-00019;ORD-20260601-00019-5;2026-06-01 04:34:48;C007405;S0267;P000914;1;71,36;0,00;EUR;IT;CARD;SHIPPED;89 chemin des Vignes, 00184 Rome
ORD-20260601-00020;ORD-20260601-00020-1;2026-06-01 16:42:16;C002531;S0544;P007257;2;24,67;7,40;EUR;DE;CARD; DELIVERED ;106 rue du Général Leclerc, 20095 Hambourg
ORD-20260601-00021;ORD-20260601-00021-1;2026-06-01 16:47:11;C012680;S0257;P007668;1;21,69;0,00;EUR;NL;CARD;delivered;142 rue de la République, 1011 Amsterdam
ORD-20260601-00021;ORD-20260601-00021-2;2026-06-01 16:47:11;C012680;S0129;P003113;2;76,10;15,22;EUR;NL;CARD;DELIVERED;142 rue de la République, 1011 Amsterdam
ORD-20260601-00022;ORD-20260601-00022-1;2026-06-01 11:18:21;C013312;S0547;P004224;1;201,68;20,17;EUR;FR;CARD;DELIVERED;153 boulevard Saint-Michel, 31000 Toulouse
ORD-20260601-00023;ORD-20260601-00023-1;2026-06-01 18:59:52;C023867;S0214;P004957;1;61,29;6,13;EUR;FR;CARD;DELIVERED;44 quai des Chartrons, 35000 Rennes
ORD-20260601-00023;ORD-20260601-00023-2;2026-06-01 18:59:52;C023867;S0445;P003530;1;63,53;0,00;EUR;FR;CARD;DELIVERED;44 quai des Chartrons, 35000 Rennes
ORD-20260601-00023;ORD-20260601-00023-3;2026-06-01 18:59:52;C023867;S0036;P001291;1;28,71;2,87;EUR;FR;CARD;delivered;44 quai des Chartrons, 35000 Rennes
ORD-20260601-00024;ORD-20260601-00024-1;2026-06-01 16:53:02;C022617;S0551;P000921;1;22,80;0,00;EUR;BE;CARD;DELIVERED;61 rue Victor Hugo, 1000 Bruxelles
